#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,LATITUDE,LONGITUDE,APPROVED,VERIFIED,CATEGORY,CATEGORY_DESC
15,Karibe Hotel Collapsed,1/13/10 10:57,"Karibe Hotel, Juvenat 7 Petion-Ville, HAITI (near Union School) A map to the location of the hotel is here: http://www.karibehotel.com/karibehotel/location.asp","The Karibe Hotel and ajoining apartments have collapsed.  My brother and his three daughters - aged 2 to 6 are trapped inside one of the apartments in the Karibe compound.  His wife, Emily Sanson-Rejouis can hear the baby cry.  She urgently needs help.  She has been waiting for help for the last 12 hours.  The baby is crying.",18.51933,-72.301626,1,0,1a,Collapsed structure
401,"Leogane, Haiti has not received any relief efforts yet",1/15/10 4:23,Léogâne,"My grandmother and many other Haitians have survived the initial earthquake, unfortunately relief efforts have not reached were she and other family are. 
They are located in the countryside of Leogane.
Her address#  
97 Route National #2  
I can be reached at alain718@hotmail.com if anyone is able to help",18.510833,-72.633889,1,0,1,Emergency
322,Students trapped in lycee Anacaona,1/15/10 10:19,Léogâne,"Building damaged, students still trapped-- live broadcast: http://www.ustream.tv/channel/pierrecote#utm_campaign=twitter.com&amp;utm_source=754733&amp;utm_medium=social",18.510833,-72.633889,1,0,1c,People trapped
139,Missing people in Haiti.,1/14/10 11:36,Léogâne,"There's so many people in leogane near to port-au-prince,we do not hear,please say something about them.I do understand we show port-au-prince,petion ville, and other location please show something about leogane which is 20 mn to port-au-prince.Thank you so very much for all the help.",18.745108,-73.031616,1,0,6,Persons News
349,Hospital damaged,1/15/10 1:17,"Léogane, Haiti",Hopital St. Croix in Leogane fell in the earthquake,18.512838,-72.623987,1,0,1a,Collapsed structure
313,Missing Persons: Jean-Francois,1/15/10 9:09,"La Lee Rino ALexi #10,Port-Au-Prince, Haiti","My name is Marie Jean-Francois and I am looking for my family that lived in Port-au-Prince. Their names are: Mitchelle Jean-Francois; Roland Jean-Francois; Yvos Jean-Francois; Mario Jean-Francois; Aroda Jean-Francois; Amalia Jean-Francois; Nicole Adolple; Etiene Adolple; Jeanne Jean-Francois; Marie Betele-Jean-Francois. 
My home phone number is 305-759-5518. At my job they are helping me with the search and I am their most of the day and you may contact them. The Joy of Learning 305-597-5665 and their e-mail will be my contacting e-mail, info@thejoyoflearning.com.",18.719097,-72.333984,1,0,6b,Missing Persons
216,"Person Trapped - La Plaine, Bon Repos, Ruelle antoine #17",1/14/10 3:59,"La Plaine, Bon Repos, Ruelle antoine #17","KATIA JUIN is stuck underneath her collapsed house at addresse: La Plaine, Bon Repos, Ruelle antoine #17. There is a big red gate which may still be visible but the house is collapsed and she is stuck underneath.",18.633333,-72.266667,1,0,1,Emergency
82,LOOKING FOR CHRISFIELISE JOSEPH Y SUS BEBES MELLIZOS,1/13/10 12:27,Lascahobas,"QUIERO OBTENER INFORMACION ALGUNA DE UNA AMIGA QUE RESIDE EN RD PERO ESTABA VISITANDO LASCAHOBAS(HAITI). HE TRATADO DE COMUNICARME CON ELLA PERO NO HE PODIDO. ELLA ANDA CON SUS BEBES MELLIZOS DE APENAS 6 MESES. NECESITO SABER COMO ESTA ELLA Y LOS NIÑOS. SI SABEN DE ALGUNA INFO, FAVOR CONTACTARME AL EMAIL hln_03@yahoo.com",18.829444,-71.936389,1,0,1,Emergency
402,The Magnitude of a Disaster,1/15/10 4:32,leogane,"Leogane -- very serious death and injury toll, serious building damage
See http://twitter.com/LambiFund/status/7798348883",18.512838,-72.623987,1,0,1,Emergency
228,Leogane Nursing School,1/14/10 4:33,Leogane,FSIL School of Nursing in Leogane is undamaged.,18.512838,-72.623987,1,0,6,Persons News
356,Missionary house destroyed,1/15/10 1:49,"Leogane, Haiti",Missionary House in Leogane has been destroyed,18.512838,-72.623987,1,0,1a,Collapsed structure
170,Hospital St. Croix - destoryed,1/14/10 2:00,"Leogane, Haiti","Hospital St. Croix sustained major damage, news that the guest house is still standing,",18.512838,-72.623987,1,0,2a,Structures at risk
169,Road to Leogane Road blocked,1/14/10 1:58,"Leogane, Haiti",road is completely collapsed,18.512838,-72.623987,1,0,3,Vital Lines
392,"UND/CDC in Leogane, camp for displaced people, no internet in Leogane",1/15/10 3:33,"Leogane, Haiti","UND/CDC place in Leogane (coordinates above), there is a large yard that is being used like a refugee camp for hundreds of people – lots of tarps held up by wooden posts and a few tents.  They just got a drum of gas and are using it sparingly – apparently they’ve been running the generator for about an hour a couple times each day.  They’re not aware of any other place to get internet in Leogane.",18.512838,-72.623987,1,1,4c,Shelter
162,Hilda Alcindor,1/14/10 1:42,"leogane, haiti","RT @markrsmith: I know it's a long shot, but Presbyterian Church officials are looking for Hilda Alcindor, likely in Leogane. Thx",18.512838,-72.623987,1,0,6b,Missing Persons
98,Rectory in Les Cayes is in very bad condition,1/13/10 12:57,Les Cayes,"In Les Cayes, BTI is OK, but some people were injured trying to get out of the buildings during the quake. The rectory in Les Cayes is in very bad condition.",18.19413,-73.749847,1,0,1a,Collapsed structure
396,Le Cayes - The Magnitude of a Disaster,1/15/10 3:51,Les Cayes,"Little building damage, few injuries, many refugees pouring in",18.2,-73.75,1,1,5,Other
380,Functioning Port in Les Cayes,1/15/10 3:05,"Les Cayes, Haiti",Les Cayes have functioning ports.,18.190359,-73.748291,1,0,4,Response
398,food being handed out by cross international,1/15/10 3:56,"Les Cayes, Haiti",1/2 million meals being handed out to refugees who have gone to Les Cayes...no specifics on location within the town of Les Cayes,18.190359,-73.748291,1,0,4,Response
408,Sodium hypochlorite generator,1/15/10 5:06,"Les Cayes, Haiti",Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water,18.199575,-73.756269,1,1,4e,Water sanitation and hygiene promotion
33,Buses between Les Cayes and PAP getting through,1/13/10 3:19,"Les Cayes, Haiti","Buses between Les Cayes and PAP getting through
~~~~~~~~~~~~~~~~~~~~~~~~~
I am currently in Les
Cayes, Haiti.
Yesterday, we heard that there was a crack in the road and was impassable
near Tabion near Petit Goave. Today, the bus depot in Les Cayes said that a
few buses were able to get through to PAP from here. This morning a bus and
a car from Hope for Haiti left from Les Cayes to PAP, and they have just
arrived so the road appears to be passable.",18.190359,-73.748291,1,1,5,Other
373,Some damage refugees pouring in,1/15/10 2:39,"Les Cayes, Haiti",Not much damage in southern town but refugees are arriving,18.190359,-73.748291,1,0,6,Persons News
152,"Guerda, Eugenie, Abdael, Noah and Randy Synal/Sinal",1/14/10 1:13,"les cayes, haiti","I am looking for my sister Guerda Synal, Eugenie Sinal and their sons Abdael, Noah, and Randy.  I am also looking for my mom Emanithe Renaudin and my dad who is living in Les Cayes.  And my dear friend Lagnes Gustave AKA Captain Bill who host &quot;le bon vieux temps at melodie FM radio and sports news at Radio Tele Ginen in Port-au-Prince. From Modeline Jules",18.190359,-73.748291,1,0,6b,Missing Persons
341,8-yr old trapped,1/15/10 12:37,"Lycee Francais, Rue Marcadieu, Bourdon, Port-au-Prince","Rescue team needed at lycee francais 8-yr old Giscard Lefevra, son of martine lefevre, trapped",18.540855,-72.317204,1,0,1,Emergency
134,Landslide Cleared,1/14/10 11:10,"Mariani, haiti","from the UN: the road is passable even though with extreme care... our military truck made it through and reached
Carrefour",18.538027,-72.609942,1,0,4g,Rubble removal
140,Landslide Cleared (in Tarniani or Mariani),1/14/10 11:44,"Mariani, haiti","from the UN: we understand that
the landslide in Tarniani has been cleared somehow
the road is passable even though with extreme care... our military truck made it through and reached
Carrefour",18.538027,-72.609942,1,0,4g,Rubble removal
343,"Looking for Pastor Emile Samedy, New Hope Ministries, Mariani",1/15/10 11:48,"Mariani, Haiti","Can anyone tell us if they have seen Emile Samedy. Pastor of General Assembly Church &amp; School in Mariani, Haiti, and whether or not the facilities in Mariani are still viable. It is a gated compound, with a large sign which reads, &quot;New Hope Ministries&quot;.",18.538027,-72.609942,1,0,6b,Missing Persons
403,Camps location,1/15/10 4:38,"Marie Therese, Haiti","1,500 ppl living in encampment in Marie Therese neighborhood. Nearby, there is another camp with approx 2,300 people
News Source: http://twitter.com/jacquiecharles/status/7802522683",18.971187,-72.285215,1,0,1,Emergency
347,Humanitarian Coordinator and OCHA head of office are functioning out of MINUSTAH Logistics base near airport,1/15/10 1:04,"MINUSTAH Logistics Base, Near Airport Haiti",The HC and most agencies including OCHA have now relocated to the UN Stabilisation Mission in Haiti (MINUSTAH) Logistics Base near the airport.  The On Site Operations Coordination Centre (OSOCC) has been established by UNDAC next to the MINUSTAH Logistics Base,40.486568,-122.327217,1,0,4,Response
27,Trapped in building,1/13/10 1:31,"Mont Joli-Turgeau , 8 rue Mont-Joli Turgeau","To anyone in the MontJoli-Turgeau area....Jean-Olivier Neptune is caught under rubbles of his fallen house....he is alive but in very bad shape, please please please hurry and get there as soon as you can, and please put this info in your statuses. 8 rue Mont-Joli Turgeau! URGENT",18.5352,-72.332954,1,0,1c,People trapped
172,Road from Cap Haitien to Montriuis good,1/14/10 2:09,"Montrouis, Haiti",Drove from Cap Haitien - ALL IS GOOD from Montrouis to Cap. No major damage. Noticeable damage starts at Croix De Bouquet,19.75622,-72.199669,1,0,3,Vital Lines
4,National Palace damaged,1/12/10 10:43,National Palace,National Palace has extensive damage. President and First Lady are safe.,18.543376,-72.338883,1,1,1a,Collapsed structure
23,"The National Palace, Before &amp; After",1/13/10 11:00,"National Palace, Avenue de la Liberte Port-au-Prince, Haiti","RT @AVGVST: A jarring visual - The Presidential Palace Port-au-Prince, #Haiti Before &amp; After Tuesday's Earthquake http://ow.ly/VY3V [BBC ...",18.543012,-72.33849,1,0,1a,Collapsed structure
355,"Missing child, chris bensthania dorelus",1/15/10 1:41,nazon,"10 years old, resident of carrefour-feuilles
10 ans,elle reside a carrefour-feuilles",18.548434,-72.320753,0,0,6b,Missing Persons
90,Route 9 is access point into PAP but still precarious,1/13/10 10:43,Near Carefou,"Route 9, the road closest to the ocean, is an access point into PAP.
The voyage is doable, but still precarious. Plus then there's what to
do once reaching PAP...
NB: Road 9 is supposed to be near Carfou, unsure of exact location
[Source: UN Office in Les Cayes]",18.548545,-72.399044,1,0,3,Vital Lines
13,Prisoners escaped from collapsed prison,1/13/10 10:31,Pénitencier National,CNN International receiving reports from UN that all prisoners housed at Pénitencier National have escaped.,18.539167,-72.335,1,0,1a,Collapsed structure
211,"Looking for family: Mirlene Lisius Bayard, Samuel Lisius, Milande Lisius",1/14/10 2:29,Pétionville,"I would like to be heard from my wife Mirlene Lisius Bayard, and his family including Saurel Lisius, Mirlande Lisus and her children, Macorel Lisius and his child, Micheline Lisius, Michelor Lisius, Ronia Lisius,Poupette Lisius, and Madame Saurel Lisius. Their addresses are as follow: 
Delmas 95 Rue Pomeyrac #40 (College Mixte Bayard Guerson)
Delmas 95 Rue Pomeyrac, Ruelle Morency # 87
I would like to be heard from my uncle Senel Charles, from Pierre Louis: Higuens, Harry, Tyson; from my cousins: Anne Marie, Margaret, and Hermine. They live at Route Frères Impasse Marcel Augustin #1 and 5 en face de L’ecole Soeur Etienne.
I would like to be heard from Carly Baja, Pascal Frank, and Cantave Bayard. They live at the following addresses in Petion-Ville: Rue Pinchinat A l’arriere de l’Eglise St Pierre de Petion-Ville
 I would like to be heard from Benjamin Sunja she lives at the following address: Delmas 95 Rue Pomeyrac across the ambassador’s entry.",18.5125,-72.285278,1,0,1,Emergency
106,personne perdues,1/14/10 2:30,Pétionville,"je cherche ma mere et mes deux soeurs 
leurs noms de famille desir
madame leon desir evelyne desir claudette desir
dansles environs de delmas 41 s.v.p
pour me contacter ici en hollande
telephone 0031703192047
ou une reponse dans cette message aussi
en haiti les numeros tel 005092490263
0050937114510",18.5125,-72.285278,1,0,1,Emergency
63,Missing Person: MINUSTAH @ Christophe Hotel - Mr. Hedi Annabi,1/13/10 8:08,Pétionville,"United Nations Representatitve at MINUSTAH.
We are his family in Virginia, USA, and desparately seeking any news on my father in law Mr. Annabi. Any news, please call 1 703 362 9704. Thank you!",18.5125,-72.285278,1,0,1,Emergency
12,Hotel Montana Collapsed,1/13/10 9:03,Pétionville,Hotel Montana at Rue Franck Cardozo in Petionville collapsed. 200 feared trapped.,18.52955604,-72.33787614,1,1,1a,Collapsed structure
59,HAS ANYONE SEEN THESE PEOPLE?,1/13/10 7:27,Pétionville,"1. Sherley Mounely William
2 Frere 7 Impasse Jacqueline # 13
Lanlord Name - Hiton
3. Monique Turtulien
4. Mackenzi Tertulien
5. Rue d'hennery # 43 a l'interieur
6 Guybzs Bruce
7. Nadege
8. Rudolph
9. Naphta",18.5125,-72.285278,1,0,1c,People trapped
261,St. Damien Children's Hospital - only minor damage aid to hospital arriving soon.,1/14/10 1:54,Pétionville,"St. Damien Children's Hospital reported that it has sustained only minor structural damage. The facility is near the airport in Port-au-Prince. The emergency medical aid shipment departing tomorrow is destined for St. Damien, with additional plans being developed for follow-up deliveries to other partners.      Note: on 1/14 at 1:54pm, St. Damien's Children's Hospital was noted as destroyed, two American volunteers killed.",18.50983,-72.285553,1,1,2a,Structures at risk
73,Looking for Dr Harry Eloi et famille,1/13/10 9:33,Pétionville,domicilie au Petionville,18.5125,-72.285278,1,0,6,Persons News
55,Marie Jeanine David Missing,1/13/10 6:34,Pétionville,"Unable to reach via telephone. Please e-mail any information on her. Last heard from this address and via telephone: 90 Impasse Israel, Routes Freres Petion-Ville Haiti. Phone: 37700550,34383897. Christopher Dieu",18.5125,-72.285278,1,0,6b,Missing Persons
267,Missing people: kareem Martin and Kareema Martin,1/14/10 9:29,Pétionville,Last heard of on tuesday night. Kareem drives a Black or blue Jeep.,18.5125,-72.285278,1,0,6b,Missing Persons
271,Missing persons: Kareem and Kareema Martin,1/14/10 9:38,Pétionville,"Last heard of on tuesday Please contact me if you know of their whereabouts. 
fallonce@gmail.com
917-842-4202",18.5125,-72.285278,1,0,6b,Missing Persons
310,200 people in Belgian Consulate need food and water,1/15/10 8:04,"Pétionville, 14 (5), Allée des Acajous, Delmas 95, Pétonville, Port-au-Prince.","200 people from our neighbourhood who have found refuge in the grounds of the Belgian Consulate, 5 of them lightly injured, and drinking water and food is running out. The situation can get worse...They have organised themselves into a committee, with a detailed list of names, to facilitate rescue operations but need assistance and coordination. Location: 
Turn into Delmas 95 (corner where Caribbean Supermarket was), first left into Rue Pomeyrac, then again first left into Allee des Acajous. The Consulate is at the bottom of the dead end, behind gates. Consul's iphone is: 001 347 255 22 86",18.5125,-72.285278,1,0,3a,Water shortage
160,Douyon Family,1/14/10 1:34,Pèlerin 5 Pétionville,@mariehlabory: RT SVP! Cherche info sur famille Douyon résidant sur Pèlerin 5 Impasse Albin Pétionville,18.49652,-72.300543,1,0,6b,Missing Persons
281,Ministry of Finance building destroyed,1/14/10 1:16,"Palais de Ministères - Rue Monseigneur Guilloux, Port-au-Prince, Haiti",Ministry of Finance building destroyed,18.539269,-72.336408,1,1,1a,Collapsed structure
195,Breanne Mode and Germain Louis-Edmond,1/14/10 2:48,"Paloma and Citoyne Ave, Carrefour, haiti",RT @gjmode: Missing family members in Haiti: Breanne Mode and Germain Louis-Edmond. Streets: Paloma and Citoyne Ave. City: Carrefour,18.538373,-72.407284,1,0,6b,Missing Persons
364,Pandiassou - Not much damage in town center,1/15/10 2:18,Pandiassou,"Not too much damage in Pandiassou, a few miles west the city Hinche",19.14906,-72.089539,1,0,5,Other
20,PAP Airport,1/13/10 10:53,"PAP Airport, Port-Au-Prince",PAP Airport,18.575394,-72.29471,1,0,2a,Structures at risk
365,MINUSTAH positioning trucks and forklifts at the airport,1/15/10 1:14,"PAP Airport, Port-Au-Prince",United Nations Stabilization Mission in Haiti (MINUSTAH) positioning trucks and forklifts at the airport,18.579721,-72.292778,1,1,4,Response
375,"UNDAC, Iceland and US USAR teams have set up reception center at airport",1/15/10 2:26,"PAP Airport, Port-Au-Prince","UNDAC (Disaster Assessment and Coordination Team), Iceland and US USAR teams have set up reception center at airport",18.579721,-72.292778,1,1,4,Response
299,Hotel Montana - M. Richard Proteau,1/15/10 6:09,petion-ville,"My father, Richard Proteau, age 65, canadian citizen and engineer for Tecsult, was last heard of at the Hotel Montana.  We are without news.  If you have information or news regarding the rescue efforts at hotel Montana, please contact us: n_proteau@yahoo.com",18.50983,-72.285553,1,0,4b,USAR Search and Rescue
285,Missing Man,1/14/10 10:41,Petion-ville,"Milot Payen de Peton-ville
Age :50 years old
Gender: Male",18.50983,-72.285553,1,0,6,Persons News
161,"Andre Drisdelle, Sylvie Mathieu",1/14/10 12:35,"petion-ville, haiti",@WIIR4DOG: Any news from André Drisdelle&amp;Sylvie Mathieu from Petionville,18.50983,-72.285553,1,0,6b,Missing Persons
84,Searching for Trieu Quan Tran at Hotel Montana,1/13/10 10:29,"Petion-Ville, Port Au Prince, Haiti","Searching for TRAN, TRIEU QUAN
~~~~~~~~~~~~~~~~~~~~~~~~~
Searching for a Canadian citizen - who was at the Hotel Montana when the
earthquake hit.
NAME: TRIEU QUAN TRAN, a guest of Hotel Montana. Height: 5' 7&quot;, 140 lbs,
black hair, brown eyes. DOB: 3/26/1952, Canadian citizen. Was working wtih
Norbati Consultants / Lavelin (Canadian company)
Please call 714 269.9692 with any information, thank you.
Melissa",18.50983,-72.285553,1,0,6,Persons News
210,"Hotel Villa Creole, Pétion-Ville now make-shift Hospital",1/14/10 2:53,"Petion-ville, Port-au-Prince, Haiti","The luxury Hotel Villa Créole’s grounds have turned into a make-shift outdoor hospital, where the injured were being brought in and triage used to separate the ones most in need of medical aid.
With precious few places left to seek shelter, people streamed to the hotel in hope of finding shelter and aid, inspite of the hotel itself having partly collapsed",18.50983,-72.285553,1,0,4a,Health services
117,Unconfirmed: Digicel/Brazilian embassy bldg destroyed,1/14/10 9:37,Petionville,"I believe the building w/Brazillian embassy collapsed, unconfirmed @isabelahorta    
from: @ramhaiti",18.50983,-72.285553,1,0,1a,Collapsed structure
260,Hotel Villa Creole medical triage,1/14/10 8:07,"Petionville 6110, port-au-prince, haiti","Hotel guests with no medical training tended wounded strangers coming in from the surrounding area, no medical staff, no nurses, no supplies",18.509873,-72.28604,1,0,1,Emergency
182,"St. Joseph Home for boys destroyed, children safe",1/14/10 2:24,"Petionville, haiti","St. Joseph Home For Boys in Petionville has been completely demolished, but all of the children got out safely.",18.50983,-72.285553,1,0,1a,Collapsed structure
417,Pharmacy open,1/15/10 6:12,"Petionville, Haiti",Pharmacy at Lamarre St. in Petionville (pv) open and selling medications.,18.50983,-72.285553,1,0,4a,Health services
157,Molly Hightower,1/14/10 1:29,"Petionville, Haiti","RT @mm98273: @RAMhaiti #Haiti Two South Kitsap women in Haiti, one still missing near Pétionville 'Friends of the Orphans'- Molly Hightower",18.50983,-72.285553,1,0,6b,Missing Persons
154,"Jean and Venante Diaquoi, Emilia Beauvoir",1/14/10 1:19,"petioville, haiti","i am looking for my father, jean diaquoi, my mother venantediaquoi, my aunt emillia beauvoir please any one who have some information please call me (Louis Diaquoi) at 347-4481907",18.50983,-72.285553,1,0,6b,Missing Persons
198,Catholic Church collapsed,1/14/10 3:07,"Petit Goave, Haiti",Catholic Church collapsed,18.433519,-72.861649,1,0,1a,Collapsed structure
202,Hotel Le Relais de L'empereur collapsed,1/14/10 3:12,"Petit-Goave, Haiti",the Catholic church and my brother's hotel Le Relais de L'empereur collapsed during the quake. Still cannot find him.,18.433519,-72.861649,1,0,1a,Collapsed structure
275,Food Distribution (WFP),1/14/10 1:50,"Place Boyer‎, Port-au-Prince, Haiti‎","WFP food distributions began on 13 January in Jacmel for approximately 3,000 people located around the airport. Distributions in Port-au-Prince are ongoing today. There are military escorts for a further 2,900 beneficiaries in three locations: Place Boyer, Villa Creole and Primature. These have been identified as areas where large numbers of people are concentrated.",18.51257,-72.282035,1,0,4d,Food distribution
335,No food or water at Bresma Orphanage,1/14/10 11:01,Port au prince,Urgent help needed. 150 orphans w/ no food or water. Run by 2 American girls. Near downtown PAP,18.539269,-72.336408,1,0,1,Emergency
391,The Magnitude of a Disaster,1/15/10 3:22,port au prince,"This densely populated area is said to be a &quot;broken mess&quot;. Entire blocks have been destroyed and survivors have lined up on the streets with belongings salvaged from piles of rubble. The area has the highest jobless rate in the metropolitan area, with about two-thirds of adults unemployed.",18.542524,-72.340035,1,0,1,Emergency
100,Looking for Marcellus Micaelle - UN Employee,1/14/10 1:59,port au prince,"English - Francais...
Do someone have news about my systers Micaelle Marcellus and Ruth Etienne, both UN employees? Please share! Do we have any coordination or report about employees of the UN in Haiti...Please email to cnngraphics@gmail.com
Est-ce que quelqu'un peut me renseigner sur la situation de mes soeurs Micalelle Marcellus at Ruth Etienne, toutes deux employées de la UN en Haiti? Envoyez un message à cnngraphics@gmail.com s'il vous plait!",18.539269,-72.336408,1,0,1,Emergency
101,"Our mother 72 years old, Marie Suzanne Faustin Rue Delmas 31",1/14/10 3:54,port au prince,"Our family is distraught.  Today is her birthday.  We need to know where our mother is, no matter how bad the news.  Please if any one see's here or knows of her or has spoken to her, we can be reached at 917 353-1644'
Please her picture is here:
http://www.ireport.com/docs/DOC-383852
God bless us all in this trying time.  There is strength in numbers!",18.539269,-72.336408,1,0,1,Emergency
346,DFID USAR and other USAR and assessment teams based at airport compound,1/15/10 1:05,port au prince,The DFID USAR and humanitarian assessment teams are based inside the airport compound which has become a de-facto coordination hub although communications are a real constraint with only sat-phones operating.,18.578569,-72.292099,1,0,4,Response
324,"LOOKING FOR MY MISSING SISTERS!! They lived  in Mariani ,Port Au Prince",1/15/10 10:45,port au prince,"My name is Marie michelle andre and I live in Brooklyn NY . I'm looking for my 3 sisters.
There names. Are
Odile Antoine
Marie claude Antoine
Mikaille. Piersant who has a daughter called McLean
PLEASE. RESPOND IF ANYONe HAS SEEN THEM. SHOW THEM THIS 
God Bless!!!11",18.538211,-72.455521,1,0,4b,USAR Search and Rescue
57,Looking for Vladimir Rousseau,1/13/10 7:23,Port Au Prince,Works in Port Au Prince for GBS (General Building Systems),18.51347,-72.457581,1,0,6b,Missing Persons
148,Please help me find my familys in haiti,1/14/10 12:42,port au prince,"name  magerite lubin, tirafa lubin,pipo lubin, standley lubin, liline joseph, solange lubin, raphariela lubin, faline lubin, godson personna, roro personna, majolene lubin or servil
 leave in port- au- prince: Rue de la reunion # 169 aletage(upstair)",18.539269,-72.336408,1,0,6b,Missing Persons
80,Looking for Octavius Delfils; reportedly injured,1/13/10 10:20,"Port Au Prince, Haiti","RT @nobelhope: @RAMhaiti trying to locate Octavius Delfils, from Reformed Presbyterian Church of Haiti, reported &quot;seriously injured&quot;",18.539269,-72.336408,1,0,1,Emergency
81,Pont Morin Teleco building has crack,1/13/10 10:26,"Port Au Prince, Haiti",RAMhaiti: Some one told me the Pont Morin Teleco building had a crack but i can't confirm @scharlesjr,18.539269,-72.336408,1,0,2a,Structures at risk
36,Survivor at Hope for Children Orphanage,1/13/10 4:06,"Port Au Prince, Haiti","In case this is useful, just heard this woman, alive: Keziah Furth / Hope for Children Orphanage / P Au P #Haiti",18.539269,-72.336408,1,0,6,Persons News
38,Found James Colin,1/13/10 4:08,"Port Au Prince, Haiti","about looking for james colin
~~~~~~~~~~~~~~~~~~~~~~~~~
we heard from them. they are ok.
addresse #9 rue malval.
let me know how to update info",18.539269,-72.336408,1,0,6,Persons News
66,Looking for Frico Tanis,1/13/10 7:02,"Port Au Prince, Haiti",Have you seen my uncle Frico tanis please retweet. #Haiti #haitiquake #cnn @cnnbrk http://twitpic.com/xybhm,18.539269,-72.336408,1,0,6,Persons News
70,Looking for Eximene St Val,1/13/10 7:36,"Port Au Prince, Haiti",Looking for Eximene St Val @ Ruelle Jean Phillipe #52 Carrefour Feuilles Port au Prince Haiti. She's 87 years old.,18.539269,-72.336408,1,0,6,Persons News
85,Looking for Nalise Polyte and 6-month old son,1/13/10 10:21,"Port Au Prince, Haiti","Looking for Nalise Polyete and her 6 month old son Sammy Ray Dobson
(US Citizen)
Ben Dobson is in Dominican Republic, trying to get to Port-au-Prince.
Try to call Ted or anyone to let us know you are OK.
Sending all our love,
Auntie Robin",18.539269,-72.336408,1,0,6,Persons News
257,"St Vincents School for the Handicpapped destroyed, children okay",1/14/10 6:40,"Port Au Prince, Haiti",Children there reportedly safe.,18.539269,-72.336408,1,0,6,Persons News
34,Looking for 3 Americans,1/13/10 1:35,"Port Au Prince, Haiti","My family and I are desperately seeking the condition of our father, his wife and her daughter:
Walter Riley
Barbara Rhine
Selena Rhine
Their contacts in Haiti are as follows:
Yvonne Kermizan
Mario Joseph
Any information you can provide is greatly appreciated.
Thank You",18.539269,-72.336408,1,0,6b,Missing Persons
37,Looking for Joseph Guercia,1/13/10 4:06,"Port Au Prince, Haiti","@LuisMThen: Necesito información de desaparecido en #Haiti, ‎​Joseph Guercia. Estaba en el Hotel Montana al momento del sismo.",18.539269,-72.336408,1,0,6b,Missing Persons
39,Looking for Marie Carmelle Charles,1/13/10 4:29,"Port Au Prince, Haiti",@CNNBRK LOOKING FOR MY AUNT IN PAP!!! MARIE CARMELLE CHARLES!!! ALSO CALLED MARIE FRANCE...... #HAITI #HELP !!!! PLS RT!,18.539269,-72.336408,1,0,6b,Missing Persons
54,looking for Delpe and Jean Family,1/13/10 5:19,"Port Au Prince, Haiti","Hello. I'm currently looking for Mona Delpe Jean, Patrick Jean, Anne-Isabelle Jean, Kimberly Michelle Jean, Carrel Delpe, Magalie Delpe and Sebastian Delpe. They all live in PAP we've been trying to call them for over 24 hours and so far we have no news. Thank you.",18.539269,-72.336408,1,0,6b,Missing Persons
43,Looking for Pierre Eric Lamisere (Is diabetic),1/13/10 5:55,"Port Au Prince, Haiti","CONTACT AT MLAMISERE@YAHOO.COM OR FACEBOOK. THANK YOU
       MELISSA LAMISERE",18.539269,-72.336408,1,0,6b,Missing Persons
35,Is Dr. Jean Pape of Gheskio okay?,1/13/10 1:28,port of port-au-prince,"anyone know if Dr Pape is okay? What about the clinic.
ps Port badly damaged. will post pix soon. Southern Command alerted to pix.",18.529096,-72.350464,1,0,1a,Collapsed structure
227,finding person,1/14/10 4:34,Port-au Prince,Jessica Joseph,18.539269,-72.336408,1,0,6b,Missing Persons
9,Your Haiti earthquake photos - Washington Post,1/12/10 7:35,port-au-prince,Photos from the Washington Post,18.539269,-72.336408,1,0,1,Emergency
258,vladimir jean guismy devariste,1/14/10 2:41,port-au-prince,I am looking for my brother. If you know about him please contact me: 8298482851 or mackendev@yahoo.fr,18.539269,-72.336408,1,0,1,Emergency
259,Port-au-Prince morgue out of space for bodies,1/14/10 4:38,Port-au-prince,"PaP Morgue has run out of space to store bodies forcing them to start piling bodies outside, estimated 1500 bodies outside",18.539269,-72.336408,1,1,1,Emergency
241,lelenne cesar..... works in l'opital general.,1/14/10 6:20,Port-au-Prince,"please, if you find my aunt, please give me a call (347)432-6186 or sephoracesar@yahoo.com. she works in lopital general in delmas 33. her name is lelenne cesar..... thank you.",18.539167,-72.335,1,0,1,Emergency
10,Photos haiti earthquake,1/12/10 8:01,Port-au-Prince,RT @LATimesPhotos: PHOTOS Haiti earthquake http://bit.ly/79QDS0 #Haiti #HaitiQuake,18.539269,-72.336408,1,0,1,Emergency
30,Parliament has collapsed,1/13/10 3:56,Port-au-Prince,&quot;President Rene Preval (...) told the Miami Herald on Wednesday that: &quot;Parliament has collapsed. The tax office has collapsed. Schools have collapsed. Hospitals have collapsed.&quot;&quot; -- http://www.breitbart.com/article.php?id=D9D70GP00&amp;show_article=1,18.539167,-72.335,1,0,1,Emergency
31,The tax office has collapsed,1/13/10 4:00,Port-au-Prince,&quot;President Rene Preval (...) told the Miami Herald on Wednesday that: &quot;Parliament has collapsed. The tax office has collapsed. Schools have collapsed. Hospitals have collapsed.&quot;&quot; -- http://www.breitbart.com/article.php?id=D9D70GP00&amp;show_article=1,18.539167,-72.335,1,0,1,Emergency
